                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3045,                 2.2308,                 1.2921,                0.62405,                0.49611,                0.54441,                0.33741,                 1.4764,                 1.7132,                 1.3581,               0.003328,               0.003328,               0.003328
                      2,                 1.2284,                 1.2779,                 1.2057,                0.60388,                0.49465,                 0.5207,                0.32318,                 1.6079,                 1.7433,                 1.4157,              0.0066174,              0.0066174,              0.0066174
                      3,                 1.2653,                 1.1858,                 1.2184,                0.64662,                0.48897,                 0.5362,                 0.3311,                 1.5855,                 1.5253,                 1.4043,              0.0098628,              0.0098628,              0.0098628
                      4,                 1.2889,                 1.1412,                 1.2299,                0.68269,                0.47547,                0.53848,                0.33944,                 1.5621,                  1.533,                 1.3955,               0.009802,               0.009802,               0.009802
                      5,                 1.2561,                 1.0496,                 1.1991,                0.65539,                0.53152,                0.56855,                0.35805,                 1.5542,                 1.3728,                 1.3476,               0.009736,               0.009736,               0.009736
                      6,                 1.2374,                0.98648,                 1.1848,                0.78155,                0.53202,                0.58764,                0.37087,                 1.5323,                 1.3036,                 1.3524,                0.00967,                0.00967,                0.00967
                      7,                  1.205,                0.92493,                 1.1632,                0.68348,                  0.595,                0.61829,                0.39055,                 1.4721,                  1.193,                 1.2844,               0.009604,               0.009604,               0.009604
                      8,                 1.1771,                0.87826,                 1.1468,                0.67179,                0.57655,                  0.605,                0.38668,                 1.4855,                 1.2548,                 1.2919,               0.009538,               0.009538,               0.009538
                      9,                 1.1618,                0.85289,                 1.1372,                0.72568,                0.59407,                0.62351,                0.39611,                 1.4528,                 1.1542,                 1.2736,               0.009472,               0.009472,               0.009472
                     10,                 1.1446,                0.83076,                 1.1256,                0.68206,                0.60793,                0.63608,                0.40668,                 1.4549,                 1.1276,                 1.2691,               0.009406,               0.009406,               0.009406
                     11,                 1.1272,                0.79974,                 1.1154,                0.72957,                0.60128,                0.64372,                0.41638,                 1.4271,                 1.0877,                 1.2491,                0.00934,                0.00934,                0.00934
                     12,                 1.1182,                0.79012,                 1.1108,                0.68832,                0.61613,                0.63873,                 0.4084,                 1.4397,                  1.098,                 1.2584,               0.009274,               0.009274,               0.009274
                     13,                 1.1056,                0.77088,                 1.1026,                0.70728,                0.61455,                0.65393,                0.42191,                 1.4289,                 1.0744,                 1.2499,               0.009208,               0.009208,               0.009208
                     14,                 1.0957,                0.75668,                 1.0966,                0.70197,                0.62965,                0.65951,                0.43019,                 1.4049,                 1.0441,                 1.2358,               0.009142,               0.009142,               0.009142
                     15,                 1.0942,                0.74839,                   1.09,                0.70889,                 0.6396,                0.65644,                0.43078,                 1.3991,                 1.0363,                 1.2262,               0.009076,               0.009076,               0.009076
                     16,                 1.0805,                0.73389,                  1.087,                0.76009,                0.63033,                 0.6734,                0.43691,                 1.4087,                 1.0026,                 1.2294,                0.00901,                0.00901,                0.00901
                     17,                 1.0652,                0.71603,                 1.0782,                0.73764,                0.64343,                0.68383,                0.44681,                 1.3933,                0.98626,                 1.2113,               0.008944,               0.008944,               0.008944
                     18,                 1.0636,                0.71179,                 1.0744,                0.74738,                0.63698,                0.68044,                0.44718,                 1.3833,                0.97334,                 1.2179,               0.008878,               0.008878,               0.008878
                     19,                 1.0534,                0.70698,                 1.0683,                0.74888,                0.65488,                0.68899,                0.45012,                 1.3931,                0.95798,                 1.2201,               0.008812,               0.008812,               0.008812
                     20,                 1.0497,                0.69706,                 1.0655,                0.75835,                0.63378,                0.67579,                0.44572,                 1.3893,                0.97603,                 1.2042,               0.008746,               0.008746,               0.008746
                     21,                 1.0334,                0.68088,                 1.0569,                0.74762,                0.65989,                0.69725,                0.45579,                 1.3606,                0.95473,                 1.1957,                0.00868,                0.00868,                0.00868
                     22,                 1.0284,                0.67516,                 1.0573,                0.74371,                0.65233,                0.68381,                0.45602,                 1.3443,                 0.9429,                 1.1888,               0.008614,               0.008614,               0.008614
                     23,                 1.0243,                0.66848,                 1.0525,                0.78559,                0.64426,                0.70172,                0.46489,                 1.3502,                0.92191,                 1.1883,               0.008548,               0.008548,               0.008548
                     24,                  1.018,                0.66081,                 1.0509,                0.78631,                0.65488,                 0.7018,                0.46324,                 1.3585,                0.92343,                 1.1919,               0.008482,               0.008482,               0.008482
                     25,                 1.0109,                0.64994,                 1.0432,                0.75484,                0.66802,                0.69781,                0.46764,                 1.3578,                0.91898,                 1.1897,               0.008416,               0.008416,               0.008416
